SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
65,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MSS_CORTEXM3.AXI_IF_0.AWBURST[1:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
66,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.CONFIG1_DONE_q1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_MSS|FIC_2_APB_M_PCLK_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORECONFIGP_0.control_reg_1[1:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
67,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.CONFIG2_DONE_q1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_MSS|FIC_2_APB_M_PCLK_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORECONFIGP_0.control_reg_1[1:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
68,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.count_ddr_enable_q1,MDDR_Demo_sb_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.count_ddr_enable,Different Clock Domains,YES,2,YES,Safe CDC path detected.
69,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.ddr_settled_q1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.ddr_settled,Different Clock Domains,YES,2,YES,Safe CDC path detected.
70,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif0_core_q1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif0_core,Different Clock Domains,YES,2,YES,Safe CDC path detected.
71,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif1_core_q1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif1_core,Different Clock Domains,YES,2,YES,Safe CDC path detected.
72,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif2_core_q1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif2_core,Different Clock Domains,YES,2,YES,Safe CDC path detected.
73,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif3_core_q1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif3_core,Different Clock Domains,YES,2,YES,Safe CDC path detected.
74,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORECONFIGP_0.INIT_DONE_q1,MDDR_Demo_sb_sb_MSS|FIC_2_APB_M_PCLK_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.INIT_DONE_int,Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
75,MEMORY_TMR_0.TPSRAM_C3_0.TPSRAM_C3_0.TPSRAM_C3_TPSRAM_C3_0_TPSRAM_R0C2,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
76,MEMORY_TMR_0.TPSRAM_C3_0.TPSRAM_C3_0.TPSRAM_C3_TPSRAM_C3_0_TPSRAM_R0C3,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
77,MEMORY_TMR_0.TPSRAM_C3_0.TPSRAM_C3_0.TPSRAM_C3_TPSRAM_C3_0_TPSRAM_R0C1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
78,MEMORY_TMR_0.TPSRAM_C3_0.TPSRAM_C3_0.TPSRAM_C3_TPSRAM_C3_0_TPSRAM_R0C0,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
79,MEMORY_TMR_0.TPSRAM_C2_0.TPSRAM_C2_0.TPSRAM_C2_TPSRAM_C2_0_TPSRAM_R0C0,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
80,MEMORY_TMR_0.TPSRAM_C2_0.TPSRAM_C2_0.TPSRAM_C2_TPSRAM_C2_0_TPSRAM_R0C2,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
81,MEMORY_TMR_0.TPSRAM_C2_0.TPSRAM_C2_0.TPSRAM_C2_TPSRAM_C2_0_TPSRAM_R0C3,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
82,MEMORY_TMR_0.TPSRAM_C2_0.TPSRAM_C2_0.TPSRAM_C2_TPSRAM_C2_0_TPSRAM_R0C1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
83,MEMORY_TMR_0.TPSRAM_C1_0.TPSRAM_C1_0.TPSRAM_C1_TPSRAM_C1_0_TPSRAM_R0C0,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
84,MEMORY_TMR_0.TPSRAM_C1_0.TPSRAM_C1_0.TPSRAM_C1_TPSRAM_C1_0_TPSRAM_R0C3,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
85,MEMORY_TMR_0.TPSRAM_C1_0.TPSRAM_C1_0.TPSRAM_C1_TPSRAM_C1_0_TPSRAM_R0C1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
86,MEMORY_TMR_0.TPSRAM_C1_0.TPSRAM_C1_0.TPSRAM_C1_TPSRAM_C1_0_TPSRAM_R0C2,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
