SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
22,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,AUTO_HANDLER_TMR_work_top_rtl_0layer0|next_process_1_sqmuxa_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.next_process,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
23,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.WR_fsm[0:3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
24,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[1],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,AUTO_HANDLER_TMR_work_top_rtl_0layer0|next_process_1_sqmuxa_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.next_process,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
25,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[1],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.WR_fsm[0:3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
26,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[2],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,AUTO_HANDLER_TMR_work_top_rtl_0layer0|next_process_1_sqmuxa_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.next_process,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
27,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[2],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.WR_fsm[0:3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
28,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[3],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,AUTO_HANDLER_TMR_work_top_rtl_0layer0|next_process_1_sqmuxa_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.next_process,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
29,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[3],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.WR_fsm[0:3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
30,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[4],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,AUTO_HANDLER_TMR_work_top_rtl_0layer0|next_process_1_sqmuxa_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.next_process,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
31,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[4],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.WR_fsm[0:3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
32,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[5],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,AUTO_HANDLER_TMR_work_top_rtl_0layer0|next_process_1_sqmuxa_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.next_process,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
33,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[5],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.WR_fsm[0:3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
34,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[6],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,AUTO_HANDLER_TMR_work_top_rtl_0layer0|next_process_1_sqmuxa_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.next_process,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
35,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[6],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.WR_fsm[0:3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
36,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[7],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,AUTO_HANDLER_TMR_work_top_rtl_0layer0|next_process_1_sqmuxa_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.next_process,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
37,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[7],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.WR_fsm[0:3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
38,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[8],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,AUTO_HANDLER_TMR_work_top_rtl_0layer0|next_process_1_sqmuxa_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.next_process,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
39,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[8],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.WR_fsm[0:3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
40,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[9],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,AUTO_HANDLER_TMR_work_top_rtl_0layer0|next_process_1_sqmuxa_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.next_process,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
41,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[9],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.WR_fsm[0:3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
42,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[10],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,AUTO_HANDLER_TMR_work_top_rtl_0layer0|next_process_1_sqmuxa_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.next_process,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
43,UART_IF_0.AUTO_HANDLER_TMR_0.tpsram_RADDR_1[10],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.WR_fsm[0:3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
44,UART_IF_0.AUTO_HANDLER_TMR_0.cnt_tpsram[10:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,DATA_HANDLE_FSM_V2_32_32_8_11|un1_paddr_1_inferred_clock,UART_IF_0.DATA_HANDLE_FSM_V2_0.uart_user_option[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
45,UART_IF_0.AUTO_HANDLER_TMR_0.RD_fsm[0:3],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,UART_IF_0.UART_IF_FSM_0.Next_Address,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path.
46,UART_IF_0.AUTO_HANDLER_TMR_0.RD_fsm[0:3],MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,AUTO_HANDLER_TMR_work_top_rtl_0layer0|next_process_1_sqmuxa_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.next_process,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Divergence detected in the crossover path.
47,UART_IF_0.AUTO_HANDLER_TMR_0.WR_fsm[0:3],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,AUTO_HANDLER_TMR_work_top_rtl_0layer0|next_process_1_sqmuxa_inferred_clock,UART_IF_0.AUTO_HANDLER_TMR_0.next_process,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
48,MSS_CORTEXM3.AXI_IF_0.AWADDR[31:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.INIT_DONE_int,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
49,MSS_CORTEXM3.AXI_IF_0.ARADDR[31:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.INIT_DONE_int,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
50,MSS_CORTEXM3.AXI_IF_0.axi_fsm_write_state[5:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
51,MSS_CORTEXM3.AXI_IF_0.AWVALID,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
52,MSS_CORTEXM3.AXI_IF_0.WSTRB_1[0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path. Enable signal for synchonizer registers does not have a safe crossing.
53,MSS_CORTEXM3.AXI_IF_0.WDATA[63:0],MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.CORERESETP_0.INIT_DONE_int,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
54,MSS_CORTEXM3.AXI_IF_0.ARVALID,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MSS_CORTEXM3.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
