SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
22,WR_MDDR.MDDR_Demo_sb_sb_0.CORERESETP_0.ddr_settled_q1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.CORERESETP_0.ddr_settled,Different Clock Domains,YES,2,YES,Safe CDC path detected.
23,WR_MDDR.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif0_core_q1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif0_core,Different Clock Domains,YES,2,YES,Safe CDC path detected.
24,WR_MDDR.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif1_core_q1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif1_core,Different Clock Domains,YES,2,YES,Safe CDC path detected.
25,WR_MDDR.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif2_core_q1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif2_core,Different Clock Domains,YES,2,YES,Safe CDC path detected.
26,WR_MDDR.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif3_core_q1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,MDDR_Demo_sb_sb_FABOSC_0_OSC|RCOSC_25_50MHZ_CCC_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.CORERESETP_0.release_sdif3_core,Different Clock Domains,YES,2,YES,Safe CDC path detected.
27,WR_MDDR.MDDR_Demo_sb_sb_0.CORECONFIGP_0.INIT_DONE_q1,MDDR_Demo_sb_sb_MSS|FIC_2_APB_M_PCLK_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.CORERESETP_0.INIT_DONE_int,Different Clock Domains,YES,2,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
28,REDUNDANCIA.TPSRAM_C3_0.TPSRAM_C3_0.TPSRAM_C3_TPSRAM_C3_0_TPSRAM_R0C2,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
29,REDUNDANCIA.TPSRAM_C3_0.TPSRAM_C3_0.TPSRAM_C3_TPSRAM_C3_0_TPSRAM_R0C3,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
30,REDUNDANCIA.TPSRAM_C3_0.TPSRAM_C3_0.TPSRAM_C3_TPSRAM_C3_0_TPSRAM_R0C1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
31,REDUNDANCIA.TPSRAM_C3_0.TPSRAM_C3_0.TPSRAM_C3_TPSRAM_C3_0_TPSRAM_R0C0,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
32,REDUNDANCIA.TPSRAM_C2_0.TPSRAM_C2_0.TPSRAM_C2_TPSRAM_C2_0_TPSRAM_R0C0,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
33,REDUNDANCIA.TPSRAM_C2_0.TPSRAM_C2_0.TPSRAM_C2_TPSRAM_C2_0_TPSRAM_R0C2,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
34,REDUNDANCIA.TPSRAM_C2_0.TPSRAM_C2_0.TPSRAM_C2_TPSRAM_C2_0_TPSRAM_R0C3,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
35,REDUNDANCIA.TPSRAM_C2_0.TPSRAM_C2_0.TPSRAM_C2_TPSRAM_C2_0_TPSRAM_R0C1,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
36,REDUNDANCIA.TPSRAM_C1_0.TPSRAM_C1_0.TPSRAM_C1_TPSRAM_C1_0_TPSRAM_R0C0,MDDR_Demo_sb_sb_CCC_0_FCCC|GL2_net_inferred_clock,MDDR_Demo_sb_sb_CCC_0_FCCC|GL0_net_inferred_clock,WR_MDDR.MDDR_Demo_sb_sb_0.MDDR_Demo_sb_sb_MSS_0.MSS_ADLIB_INST,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
